epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.19,3.0939,8.58828,1.35705,0.00041,0.21096,0.0003,8e-05,2.93312,8.36745,1.6127,0.00053979,0.00053979,0.00053979
2,330.818,2.94366,6.95757,1.33332,0.00119,0.31876,0.00128,0.00026,3.12807,8.49411,1.93715,0.00107377,0.00107377,0.00107377
3,484.417,2.90668,5.90768,1.35675,0.66321,0.12821,0.06663,0.01526,3.02692,5.79495,2.18661,0.00158574,0.00158574,0.00158574
4,637.551,2.90186,5.33985,1.38786,0.62283,0.13462,0.09468,0.02377,2.84487,5.20022,2.02234,0.00156798,0.00156798,0.00156798
5,785.547,2.87674,4.56224,1.38173,0.7159,0.25333,0.1683,0.04321,3.00097,4.93899,2.02608,0.00153497,0.00153497,0.00153497
6,930.695,2.88335,4.64882,1.46075,0.73444,0.17308,0.18737,0.05143,3.1145,4.67268,1.96619,0.00150197,0.00150197,0.00150197
7,1082.66,2.79982,4.04242,1.41846,0.73991,0.28846,0.26235,0.06725,3.07051,4.25991,1.96388,0.00146896,0.00146896,0.00146896
8,1230.22,2.841,3.82195,1.37593,0.69457,0.25641,0.1982,0.05294,2.88719,3.99821,1.92283,0.00143595,0.00143595,0.00143595
9,1372.98,2.7319,3.57705,1.32519,0.78946,0.30846,0.26264,0.06793,2.92564,3.76382,2.11674,0.00140295,0.00140295,0.00140295
10,1521.92,2.76714,3.0541,1.29309,0.66486,0.26923,0.19384,0.04643,2.97664,3.47262,1.89344,0.00136994,0.00136994,0.00136994
11,1665.1,2.72626,3.2378,1.413,0.73332,0.30287,0.25699,0.06985,2.84277,3.44417,1.9204,0.00133693,0.00133693,0.00133693
12,1815.15,2.66031,2.81001,1.3481,0.69804,0.3141,0.21913,0.06116,2.71593,3.17289,1.81201,0.00130393,0.00130393,0.00130393
13,1957.51,2.67729,2.78126,1.23172,0.68878,0.24359,0.18953,0.04317,2.84286,3.26921,1.89398,0.00127092,0.00127092,0.00127092
14,2112.62,2.67967,2.5915,1.36162,0.72929,0.29487,0.25335,0.06149,2.75638,2.97915,1.83114,0.00123791,0.00123791,0.00123791
15,2272.17,2.69172,2.53649,1.31668,0.6647,0.23617,0.16622,0.04992,2.72131,3.13573,1.81515,0.00120491,0.00120491,0.00120491
16,2428.97,2.68174,2.61615,1.29961,0.7166,0.25641,0.22937,0.05694,2.74137,3.10102,1.82646,0.0011719,0.0011719,0.0011719
17,2578.14,2.70678,2.48424,1.31838,0.71653,0.23077,0.22009,0.0684,2.72216,3.14349,1.83454,0.00113889,0.00113889,0.00113889
18,2729.24,2.5621,2.33011,1.30969,0.70132,0.1859,0.19923,0.05568,2.86138,3.01257,1.90706,0.00110589,0.00110589,0.00110589
19,2888.79,2.57562,2.22349,1.28854,0.71041,0.29344,0.25774,0.08478,2.67621,2.82944,1.76588,0.00107288,0.00107288,0.00107288
20,3036.89,2.58166,2.28294,1.25864,0.70921,0.27564,0.22883,0.06631,2.75682,2.88957,1.80186,0.00103987,0.00103987,0.00103987
21,3183.27,2.63015,2.16469,1.31235,0.7978,0.29269,0.28937,0.0785,2.66972,2.61217,1.79233,0.00100687,0.00100687,0.00100687
22,3333.89,2.64134,2.13272,1.36778,0.7309,0.26923,0.23225,0.06043,2.74507,2.81069,1.90042,0.000973861,0.000973861,0.000973861
23,3483.02,2.58506,2.0438,1.2711,0.7889,0.32692,0.32887,0.07785,2.73115,2.58559,1.7974,0.000940855,0.000940855,0.000940855
24,3628.38,2.51273,2.0082,1.24183,0.67556,0.24359,0.17741,0.04532,2.77118,2.80986,1.87939,0.000907848,0.000907848,0.000907848
25,3775.94,2.51874,2.08972,1.30275,0.70466,0.28846,0.23367,0.06448,2.69993,2.59025,1.8183,0.000874842,0.000874842,0.000874842
26,3922.74,2.63436,1.91069,1.29604,0.73796,0.26282,0.22155,0.05623,2.83317,2.66055,1.90016,0.000841835,0.000841835,0.000841835
27,4068.1,2.50306,1.83636,1.20628,0.7597,0.24359,0.22983,0.05951,2.79595,2.68314,1.89765,0.000808828,0.000808828,0.000808828
28,4238.77,2.5312,1.90623,1.28576,0.71052,0.27504,0.23649,0.06018,2.81877,2.66848,1.8904,0.000775822,0.000775822,0.000775822
29,4461.11,2.55971,1.73688,1.24508,0.68023,0.28545,0.21676,0.05554,2.88205,2.58012,1.92299,0.000742815,0.000742815,0.000742815
